Year,Canton,Education_1,Education_2,Education_3
2013,Zürich,1472143.0,3209801.0,2435664.0
2014,Aargau,755118.0,1636936.0,846283.0
2014,Appenzell Ausserrhoden,66244.0,139257.0,66199.0
2014,Appenzell Innerrhoden,21615.0,39530.0,17005.0
2014,Basel-Landschaft,309110.0,713088.0,403560.0
2014,Basel-Stadt,228912.0,375852.0,362595.0
2014,Bern / Berne,1144307.0,2614500.0,1328287.0
2014,CH,10239284.0,19018913.0,11719464.0
2014,Fribourg / Freiburg,457381.0,637469.0,382171.0
2014,Genève,635400.0,717353.0,811997.0
2014,Glarus,55755.0,106216.0,37464.0
2014,Graubünden / Grigioni / Grischun,255704.0,523910.0,223051.0
2014,Jura,119888.0,169741.0,70494.0
2014,Luzern,478474.0,974015.0,515449.0
2014,Neuchâtel,277854.0,365989.0,233149.0
2014,Nidwalden,44470.0,114134.0,55483.0
2014,Obwalden,50932.0,89715.0,42950.0
2014,Schaffhausen,93739.0,208770.0,99975.0
2014,Schwyz,191027.0,374405.0,200945.0
2014,Solothurn,333485.0,693654.0,310374.0
2014,St. Gallen,622314.0,1282789.0,571988.0
2014,Thurgau,313845.0,706761.0,303481.0
2014,Ticino,497538.0,801706.0,481820.0
2014,Uri,55812.0,91220.0,31524.0
2014,Valais / Wallis,546164.0,744560.0,367380.0
2014,Vaud,1087380.0,1422880.0,1207748.0
2014,Zug,116897.0,259568.0,222353.0
2014,Zürich,1479079.0,3214625.0,2524523.0
2015,Aargau,754369.0,1648949.0,878119.0
2015,Appenzell Ausserrhoden,53918.0,147283.0,72420.0
2015,Appenzell Innerrhoden,19136.0,42577.0,16642.0
2015,Basel-Landschaft,298157.0,727876.0,408236.0
2015,Basel-Stadt,231053.0,368702.0,371227.0
2015,Bern / Berne,1114013.0,2631559.0,1382134.0
2015,CH,10141211.0,19140121.0,12165576.0
2015,Fribourg / Freiburg,480104.0,640283.0,380292.0
2015,Genève,637728.0,721679.0,858054.0
2015,Glarus,64086.0,95240.0,41892.0
2015,Graubünden / Grigioni / Grischun,247039.0,522466.0,238002.0
2015,Jura,121699.0,163729.0,76530.0
2015,Luzern,468587.0,985638.0,534399.0
2015,Neuchâtel,278969.0,369672.0,233856.0
2015,Nidwalden,47801.0,107536.0,60739.0
2015,Obwalden,46516.0,94302.0,44570.0
2015,Schaffhausen,88766.0,218753.0,96989.0
2015,Schwyz,195179.0,371180.0,207779.0
2015,Solothurn,325432.0,715133.0,310345.0
2015,St. Gallen,620388.0,1282686.0,584250.0
2015,Thurgau,311538.0,706999.0,321360.0
2015,Ticino,493897.0,798374.0,500662.0
2015,Uri,55700.0,91800.0,31303.0
2015,Valais / Wallis,540978.0,748968.0,388914.0
2015,Vaud,1086410.0,1433800.0,1261663.0
2015,Zug,112238.0,267688.0,229836.0
2015,Zürich,1446366.0,3236735.0,2634606.0
2016,Aargau,733984.0,1665949.0,921246.0
2016,Appenzell Ausserrhoden,65370.0,141864.0,68003.0
2016,Appenzell Innerrhoden,22506.0,38349.0,17389.0
2016,Basel-Landschaft,308600.0,711210.0,425351.0
2016,Basel-Stadt,219881.0,363851.0,392162.0
2016,Bern / Berne,1121376.0,2616480.0,1419343.0
2016,CH,10125771.0,19006645.0,12755869.0
2016,Fribourg / Freiburg,461021.0,639145.0,421182.0
2016,Genève,652979.0,720900.0,886435.0
2016,Glarus,58012.0,106370.0,37552.0
2016,Graubünden / Grigioni / Grischun,249380.0,516368.0,245143.0
2016,Jura,120442.0,165395.0,78604.0
2016,Luzern,467563.0,988040.0,551389.0
2016,Neuchâtel,269770.0,371743.0,243087.0
2016,Nidwalden,44332.0,108486.0,63480.0
2016,Obwalden,46442.0,96129.0,43898.0
2016,Schaffhausen,81174.0,214715.0,112704.0
2016,Schwyz,175440.0,378499.0,229457.0
2016,Solothurn,341755.0,678193.0,344815.0
2016,St. Gallen,624468.0,1256256.0,629104.0
2016,Thurgau,307823.0,699746.0,350574.0
2016,Ticino,488172.0,797732.0,521688.0
2016,Uri,53510.0,85739.0,40297.0
2016,Valais / Wallis,547805.0,753401.0,396848.0
2016,Vaud,1101117.0,1432026.0,1310494.0
2016,Zug,114787.0,259417.0,243761.0
2016,Zürich,1446851.0,3200282.0,2760271.0
2017,Aargau,733548.0,1667059.0,957757.0
2017,Appenzell Ausserrhoden,56449.0,146182.0,72966.0
2017,Appenzell Innerrhoden,24086.0,40036.0,15119.0
2017,Basel-Landschaft,303329.0,721283.0,426624.0
2017,Basel-Stadt,210020.0,375033.0,393030.0
2017,Bern / Berne,1081608.0,2615964.0,1482853.0
2017,CH,9961206.0,19107960.0,13148029.0
2017,Fribourg / Freiburg,458869.0,652272.0,429198.0
2017,Genève,656108.0,720720.0,917622.0
2017,Glarus,56406.0,100787.0,45809.0
2017,Graubünden / Grigioni / Grischun,231031.0,538643.0,244094.0
2017,Jura,120046.0,164618.0,80896.0
2017,Luzern,466824.0,979302.0,576143.0
2017,Neuchâtel,264206.0,362242.0,255121.0
2017,Nidwalden,41015.0,113982.0,63400.0
2017,Obwalden,41959.0,96802.0,49366.0
2017,Schaffhausen,91765.0,205978.0,113525.0
2017,Schwyz,181937.0,378782.0,230387.0
2017,Solothurn,322637.0,706309.0,344856.0
2017,St. Gallen,618889.0,1274106.0,629101.0
2017,Thurgau,309781.0,709478.0,353875.0
2017,Ticino,483672.0,781195.0,540282.0
2017,Uri,53332.0,91109.0,36240.0
2017,Valais / Wallis,520381.0,774331.0,417115.0
2017,Vaud,1088219.0,1439741.0,1355999.0
2017,Zug,115050.0,262998.0,246789.0
2017,Zürich,1429117.0,3188772.0,2868455.0
2018,Aargau,722936.0,1723176.0,948475.0
2018,Appenzell Ausserrhoden,61356.0,140700.0,73587.0
2018,Appenzell Innerrhoden,17553.0,43983.0,18082.0
2018,Basel-Landschaft,283870.0,738553.0,432325.0
2018,Basel-Stadt,218640.0,369162.0,390504.0
2018,Bern / Berne,1042021.0,2662075.0,1491947.0
2018,CH,9524190.0,19747224.0,13232995.0
2018,Fribourg / Freiburg,441996.0,687930.0,428744.0
2018,Genève,611413.0,774888.0,925428.0
2018,Glarus,54046.0,107898.0,41156.0
2018,Graubünden / Grigioni / Grischun,222443.0,543298.0,249864.0
