"Education level","Sex","Year","Compulsory education"
"> Lower sec.: basic requirements","Woman","2002/03",34438
"> Lower sec.: basic requirements","Woman","2003/04",35156
"> Lower sec.: basic requirements","Woman","2004/05",35638
"> Lower sec.: basic requirements","Woman","2005/06",36121
"> Lower sec.: basic requirements","Woman","2006/07",35422
"> Lower sec.: basic requirements","Woman","2007/08",34789
"> Lower sec.: basic requirements","Woman","2008/09",34127
"> Lower sec.: basic requirements","Woman","2009/10",33668
"> Lower sec.: basic requirements","Woman","2010/11",32997
"> Lower sec.: basic requirements","Woman","2011/12",32437
"> Lower sec.: basic requirements","Woman","2012/13",31957
"> Lower sec.: basic requirements","Woman","2013/14",31582
"> Lower sec.: basic requirements","Woman","2014/15",30249
"> Lower sec.: basic requirements","Woman","2015/16",31317
"> Lower sec.: basic requirements","Woman","2016/17",30956
"> Lower sec.: basic requirements","Woman","2017/18",30306
"> Lower sec.: basic requirements","Woman","2018/19",30048
"> Lower sec.: basic requirements","Woman","2019/20",30060
"> Lower sec.: basic requirements","Woman","2020/21",29429
"> Lower sec.: basic requirements","Woman","2021/22",29960
"> Lower sec.: basic requirements","Woman","2022/23",31261
"> Lower sec.: extended requirements","Man","1999/00",76525
"> Lower sec.: extended requirements","Man","2000/01",76869
"> Lower sec.: extended requirements","Man","2001/02",76443
"> Lower sec.: extended requirements","Man","2002/03",78953
"> Lower sec.: extended requirements","Man","2003/04",80889
"> Lower sec.: extended requirements","Man","2004/05",82397
"> Lower sec.: extended requirements","Man","2005/06",84398
"> Lower sec.: extended requirements","Man","2006/07",84177
"> Lower sec.: extended requirements","Man","2007/08",83595
"> Lower sec.: extended requirements","Man","2008/09",83009
"> Lower sec.: extended requirements","Man","2009/10",83367
"> Lower sec.: extended requirements","Man","2010/11",81774
"> Lower sec.: extended requirements","Man","2011/12",81269
"> Lower sec.: extended requirements","Man","2012/13",80269
"> Lower sec.: extended requirements","Man","2013/14",79502
"> Lower sec.: extended requirements","Man","2014/15",75174
"> Lower sec.: extended requirements","Man","2015/16",75953
"> Lower sec.: extended requirements","Man","2016/17",74802
"> Lower sec.: extended requirements","Man","2017/18",74878
"> Lower sec.: extended requirements","Man","2018/19",75968
"> Lower sec.: extended requirements","Man","2019/20",76533
"> Lower sec.: extended requirements","Man","2020/21",79419
"> Lower sec.: extended requirements","Man","2021/22",81255
"> Lower sec.: extended requirements","Man","2022/23",84209
"> Lower sec.: extended requirements","Woman","1999/00",82964
"> Lower sec.: extended requirements","Woman","2000/01",83982
"> Lower sec.: extended requirements","Woman","2001/02",83627
"> Lower sec.: extended requirements","Woman","2002/03",86587
"> Lower sec.: extended requirements","Woman","2003/04",88117
"> Lower sec.: extended requirements","Woman","2004/05",89587
"> Lower sec.: extended requirements","Woman","2005/06",91212
"> Lower sec.: extended requirements","Woman","2006/07",90867
"> Lower sec.: extended requirements","Woman","2007/08",89616
"> Lower sec.: extended requirements","Woman","2008/09",88501
"> Lower sec.: extended requirements","Woman","2009/10",88754
"> Lower sec.: extended requirements","Woman","2010/11",87495
"> Lower sec.: extended requirements","Woman","2011/12",86766
"> Lower sec.: extended requirements","Woman","2012/13",85952
"> Lower sec.: extended requirements","Woman","2013/14",84682
"> Lower sec.: extended requirements","Woman","2014/15",80558
"> Lower sec.: extended requirements","Woman","2015/16",81467
"> Lower sec.: extended requirements","Woman","2016/17",81118
"> Lower sec.: extended requirements","Woman","2017/18",81856
"> Lower sec.: extended requirements","Woman","2018/19",82801
"> Lower sec.: extended requirements","Woman","2019/20",83729
"> Lower sec.: extended requirements","Woman","2020/21",85101
"> Lower sec.: extended requirements","Woman","2021/22",87049
"> Lower sec.: extended requirements","Woman","2022/23",89544
"> Lower sec.: without differentation","Man","1999/00",20771
"> Lower sec.: without differentation","Man","2000/01",20890
"> Lower sec.: without differentation","Man","2001/02",23487
"> Lower sec.: without differentation","Man","2002/03",22517
"> Lower sec.: without differentation","Man","2003/04",22803
"> Lower sec.: without differentation","Man","2004/05",22438
"> Lower sec.: without differentation","Man","2005/06",21394
