Year,Canton,Age Group,Net Migration
2011,Obwalden,10-19,26
2011,Obwalden,20-29,90
2011,Obwalden,30-39,69
2011,Obwalden,40-49,52
2011,Obwalden,50-59,25
2011,Obwalden,60-69,-7
2011,Obwalden,70-79,-2
2011,Obwalden,80-89,0
2011,Obwalden,90-99,-3
2011,Obwalden,100-109,0
2011,Schaffhausen,0-9,74
2011,Schaffhausen,10-19,65
2011,Schaffhausen,20-29,271
2011,Schaffhausen,30-39,212
2011,Schaffhausen,40-49,130
2011,Schaffhausen,50-59,3
2011,Schaffhausen,60-69,-42
2011,Schaffhausen,70-79,-11
2011,Schaffhausen,80-89,4
2011,Schaffhausen,90-99,0
2011,Schaffhausen,100-109,0
2011,Schwyz,0-9,47
2011,Schwyz,10-19,33
2011,Schwyz,20-29,275
2011,Schwyz,30-39,241
2011,Schwyz,40-49,138
2011,Schwyz,50-59,2
2011,Schwyz,60-69,-32
2011,Schwyz,70-79,6
2011,Schwyz,80-89,-3
2011,Schwyz,90-99,0
2011,Schwyz,100-109,0
2011,Solothurn,0-9,157
2011,Solothurn,10-19,109
2011,Solothurn,20-29,601
2011,Solothurn,30-39,350
2011,Solothurn,40-49,181
2011,Solothurn,50-59,-1
2011,Solothurn,60-69,-64
2011,Solothurn,70-79,-19
2011,Solothurn,80-89,-3
2011,Solothurn,90-99,0
2011,Solothurn,100-109,0
2011,St. Gallen,0-9,280
2011,St. Gallen,10-19,370
2011,St. Gallen,20-29,1597
2011,St. Gallen,30-39,919
2011,St. Gallen,40-49,444
2011,St. Gallen,50-59,45
2011,St. Gallen,60-69,-140
2011,St. Gallen,70-79,3
2011,St. Gallen,80-89,-6
2011,St. Gallen,90-99,-2
2011,St. Gallen,100-109,-1
2011,Thurgau,0-9,189
2011,Thurgau,10-19,191
2011,Thurgau,20-29,854
2011,Thurgau,30-39,607
2011,Thurgau,40-49,327
2011,Thurgau,50-59,73
2011,Thurgau,60-69,-26
2011,Thurgau,70-79,-1
2011,Thurgau,80-89,-5
2011,Thurgau,90-99,-1
2011,Thurgau,100-109,-1
2011,Ticino,0-9,362
2011,Ticino,10-19,449
2011,Ticino,20-29,909
2011,Ticino,30-39,1029
2011,Ticino,40-49,585
2011,Ticino,50-59,200
2011,Ticino,60-69,-1
2011,Ticino,70-79,26
2011,Ticino,80-89,12
2011,Ticino,90-99,2
2011,Ticino,100-109,0
2011,Uri,0-9,1
2011,Uri,10-19,9
2011,Uri,20-29,55
2011,Uri,30-39,36
2011,Uri,40-49,25
2011,Uri,50-59,0
2011,Uri,60-69,-4
2011,Uri,70-79,-5
2011,Uri,80-89,-4
2011,Uri,90-99,-1
2011,Uri,100-109,0
2011,Valais / Wallis,0-9,315
2011,Valais / Wallis,10-19,590
2011,Valais / Wallis,20-29,676
2011,Valais / Wallis,30-39,714
2011,Valais / Wallis,40-49,495
2011,Valais / Wallis,50-59,173
2011,Valais / Wallis,60-69,2
2011,Valais / Wallis,70-79,16
2011,Valais / Wallis,80-89,1
2011,Valais / Wallis,90-99,-3
2011,Valais / Wallis,100-109,0
2011,Vaud,0-9,999
2011,Vaud,10-19,2170
2011,Vaud,20-29,3086
2011,Vaud,30-39,2551
2011,Vaud,40-49,1127
2011,Vaud,50-59,285
2011,Vaud,60-69,-294
2011,Vaud,70-79,15
2011,Vaud,80-89,9
2011,Vaud,90-99,-11
2011,Vaud,100-109,0
2011,Zug,0-9,289
2011,Zug,10-19,144
2011,Zug,20-29,376
2011,Zug,30-39,610
2011,Zug,40-49,286
2011,Zug,50-59,45
2011,Zug,60-69,-48
2011,Zug,70-79,-2
2011,Zug,80-89,-2
2011,Zug,90-99,0
2011,Zug,100-109,0
2011,Zürich,0-9,1003
2011,Zürich,10-19,1178
2011,Zürich,20-29,6862
2011,Zürich,30-39,4502
2011,Zürich,40-49,1825
2011,Zürich,50-59,329
2011,Zürich,60-69,-508
2011,Zürich,70-79,-45
2011,Zürich,80-89,-30
2011,Zürich,90-99,-5
2011,Zürich,100-109,0
2012,Aargau,0-9,462
2012,Aargau,10-19,404
2012,Aargau,20-29,1858
2012,Aargau,30-39,1441
2012,Aargau,40-49,759
2012,Aargau,50-59,139
2012,Aargau,60-69,-174
2012,Aargau,70-79,3
2012,Aargau,80-89,-6
2012,Aargau,90-99,-5
2012,Aargau,100-109,0
2012,Appenzell Ausserrhoden,0-9,18
2012,Appenzell Ausserrhoden,10-19,29
2012,Appenzell Ausserrhoden,20-29,59
2012,Appenzell Ausserrhoden,30-39,67
2012,Appenzell Ausserrhoden,40-49,31
2012,Appenzell Ausserrhoden,50-59,17
2012,Appenzell Ausserrhoden,60-69,-24
2012,Appenzell Ausserrhoden,70-79,0
2012,Appenzell Ausserrhoden,80-89,0
2012,Appenzell Ausserrhoden,90-99,-1
2012,Appenzell Ausserrhoden,100-109,0
2012,Appenzell Innerrhoden,0-9,6
2012,Appenzell Innerrhoden,10-19,6
2012,Appenzell Innerrhoden,20-29,30
2012,Appenzell Innerrhoden,30-39,14
2012,Appenzell Innerrhoden,40-49,19
2012,Appenzell Innerrhoden,50-59,3
2012,Appenzell Innerrhoden,60-69,-1
2012,Appenzell Innerrhoden,70-79,-1
2012,Appenzell Innerrhoden,80-89,0
2012,Appenzell Innerrhoden,90-99,0
2012,Appenzell Innerrhoden,100-109,0
2012,Basel-Landschaft,0-9,127
2012,Basel-Landschaft,10-19,139
2012,Basel-Landschaft,20-29,555
2012,Basel-Landschaft,30-39,382
2012,Basel-Landschaft,40-49,187
2012,Basel-Landschaft,50-59,15
2012,Basel-Landschaft,60-69,-68
2012,Basel-Landschaft,70-79,-22
2012,Basel-Landschaft,80-89,-3
2012,Basel-Landschaft,90-99,-2
2012,Basel-Landschaft,100-109,0
2012,Basel-Stadt,0-9,224
2012,Basel-Stadt,10-19,203
2012,Basel-Stadt,20-29,1134
2012,Basel-Stadt,30-39,821
2012,Basel-Stadt,40-49,331
2012,Basel-Stadt,50-59,2
2012,Basel-Stadt,60-69,-134
2012,Basel-Stadt,70-79,-39
2012,Basel-Stadt,80-89,-28
2012,Basel-Stadt,90-99,-7
2012,Basel-Stadt,100-109,0
2012,Bern / Berne,0-9,552
2012,Bern / Berne,10-19,545
2012,Bern / Berne,20-29,2395
2012,Bern / Berne,30-39,1588
2012,Bern / Berne,40-49,851
2012,Bern / Berne,50-59,122
2012,Bern / Berne,60-69,-253
2012,Bern / Berne,70-79,11
2012,Bern / Berne,80-89,-9
2012,Bern / Berne,90-99,-2
2012,Bern / Berne,100-109,0
