Year,Canton,Age Group,Net Migration
2013,Vaud,30-39,2864
2013,Vaud,40-49,1517
2013,Vaud,50-59,308
2013,Vaud,60-69,-298
2013,Vaud,70-79,39
2013,Vaud,80-89,45
2013,Vaud,90-99,0
2013,Vaud,100-109,-1
2013,Zug,0-9,191
2013,Zug,10-19,109
2013,Zug,20-29,377
2013,Zug,30-39,375
2013,Zug,40-49,234
2013,Zug,50-59,17
2013,Zug,60-69,-75
2013,Zug,70-79,-4
2013,Zug,80-89,-2
2013,Zug,90-99,-1
2013,Zug,100-109,0
2013,Zürich,0-9,1153
2013,Zürich,10-19,1340
2013,Zürich,20-29,6186
2013,Zürich,30-39,3798
2013,Zürich,40-49,1640
2013,Zürich,50-59,133
2013,Zürich,60-69,-588
2013,Zürich,70-79,-30
2013,Zürich,80-89,2
2013,Zürich,90-99,-10
2013,Zürich,100-109,-1
2014,Aargau,0-9,551
2014,Aargau,10-19,455
2014,Aargau,20-29,1811
2014,Aargau,30-39,1426
2014,Aargau,40-49,847
2014,Aargau,50-59,150
2014,Aargau,60-69,-229
2014,Aargau,70-79,-32
2014,Aargau,80-89,7
2014,Aargau,90-99,-1
2014,Aargau,100-109,0
2014,Appenzell Ausserrhoden,0-9,38
2014,Appenzell Ausserrhoden,10-19,22
2014,Appenzell Ausserrhoden,20-29,78
2014,Appenzell Ausserrhoden,30-39,69
2014,Appenzell Ausserrhoden,40-49,36
2014,Appenzell Ausserrhoden,50-59,0
2014,Appenzell Ausserrhoden,60-69,-5
2014,Appenzell Ausserrhoden,70-79,3
2014,Appenzell Ausserrhoden,80-89,2
2014,Appenzell Ausserrhoden,90-99,1
2014,Appenzell Ausserrhoden,100-109,0
2014,Appenzell Innerrhoden,0-9,-4
2014,Appenzell Innerrhoden,10-19,10
2014,Appenzell Innerrhoden,20-29,28
2014,Appenzell Innerrhoden,30-39,5
2014,Appenzell Innerrhoden,40-49,13
2014,Appenzell Innerrhoden,50-59,3
2014,Appenzell Innerrhoden,60-69,-3
2014,Appenzell Innerrhoden,70-79,-1
2014,Appenzell Innerrhoden,80-89,-1
2014,Appenzell Innerrhoden,90-99,0
2014,Appenzell Innerrhoden,100-109,0
2014,Basel-Landschaft,0-9,235
2014,Basel-Landschaft,10-19,94
2014,Basel-Landschaft,20-29,653
2014,Basel-Landschaft,30-39,479
2014,Basel-Landschaft,40-49,247
2014,Basel-Landschaft,50-59,46
2014,Basel-Landschaft,60-69,-80
2014,Basel-Landschaft,70-79,-7
2014,Basel-Landschaft,80-89,-8
2014,Basel-Landschaft,90-99,-3
2014,Basel-Landschaft,100-109,0
2014,Basel-Stadt,0-9,156
2014,Basel-Stadt,10-19,227
2014,Basel-Stadt,20-29,1182
2014,Basel-Stadt,30-39,751
2014,Basel-Stadt,40-49,414
2014,Basel-Stadt,50-59,42
2014,Basel-Stadt,60-69,-129
2014,Basel-Stadt,70-79,-27
2014,Basel-Stadt,80-89,-7
2014,Basel-Stadt,90-99,1
2014,Basel-Stadt,100-109,-1
2014,Bern / Berne,0-9,775
2014,Bern / Berne,10-19,645
2014,Bern / Berne,20-29,2467
2014,Bern / Berne,30-39,1926
2014,Bern / Berne,40-49,1069
2014,Bern / Berne,50-59,293
2014,Bern / Berne,60-69,-177
2014,Bern / Berne,70-79,42
2014,Bern / Berne,80-89,5
2014,Bern / Berne,90-99,-2
2014,Bern / Berne,100-109,0
2014,Fribourg / Freiburg,0-9,355
2014,Fribourg / Freiburg,10-19,410
2014,Fribourg / Freiburg,20-29,797
2014,Fribourg / Freiburg,30-39,754
2014,Fribourg / Freiburg,40-49,438
2014,Fribourg / Freiburg,50-59,51
2014,Fribourg / Freiburg,60-69,-37
2014,Fribourg / Freiburg,70-79,5
2014,Fribourg / Freiburg,80-89,1
2014,Fribourg / Freiburg,90-99,0
2014,Fribourg / Freiburg,100-109,0
2014,Genève,0-9,824
2014,Genève,10-19,945
2014,Genève,20-29,3451
2014,Genève,30-39,2683
2014,Genève,40-49,1434
2014,Genève,50-59,557
2014,Genève,60-69,-279
2014,Genève,70-79,31
2014,Genève,80-89,1
2014,Genève,90-99,2
2014,Genève,100-109,1
2014,Glarus,0-9,26
2014,Glarus,10-19,37
2014,Glarus,20-29,124
2014,Glarus,30-39,81
2014,Glarus,40-49,60
2014,Glarus,50-59,17
2014,Glarus,60-69,-16
2014,Glarus,70-79,6
2014,Glarus,80-89,1
2014,Glarus,90-99,0
2014,Glarus,100-109,0
2014,Graubünden / Grigioni / Grischun,0-9,125
2014,Graubünden / Grigioni / Grischun,10-19,188
2014,Graubünden / Grigioni / Grischun,20-29,643
2014,Graubünden / Grigioni / Grischun,30-39,447
2014,Graubünden / Grigioni / Grischun,40-49,300
2014,Graubünden / Grigioni / Grischun,50-59,95
2014,Graubünden / Grigioni / Grischun,60-69,-70
2014,Graubünden / Grigioni / Grischun,70-79,18
2014,Graubünden / Grigioni / Grischun,80-89,9
2014,Graubünden / Grigioni / Grischun,90-99,0
2014,Graubünden / Grigioni / Grischun,100-109,0
2014,Jura,0-9,94
2014,Jura,10-19,57
2014,Jura,20-29,147
2014,Jura,30-39,143
2014,Jura,40-49,83
2014,Jura,50-59,33
2014,Jura,60-69,-17
2014,Jura,70-79,9
2014,Jura,80-89,4
2014,Jura,90-99,0
2014,Jura,100-109,0
2014,Luzern,0-9,215
2014,Luzern,10-19,470
2014,Luzern,20-29,1035
2014,Luzern,30-39,751
2014,Luzern,40-49,339
2014,Luzern,50-59,79
2014,Luzern,60-69,-129
2014,Luzern,70-79,-8
2014,Luzern,80-89,-5
2014,Luzern,90-99,-13
2014,Luzern,100-109,0
2014,Neuchâtel,0-9,173
2014,Neuchâtel,10-19,257
2014,Neuchâtel,20-29,613
2014,Neuchâtel,30-39,474
2014,Neuchâtel,40-49,258
2014,Neuchâtel,50-59,75
2014,Neuchâtel,60-69,-91
2014,Neuchâtel,70-79,4
2014,Neuchâtel,80-89,-5
2014,Neuchâtel,90-99,0
2014,Neuchâtel,100-109,0
2014,Nidwalden,0-9,12
2014,Nidwalden,10-19,16
2014,Nidwalden,20-29,89
2014,Nidwalden,30-39,95
2014,Nidwalden,40-49,57
2014,Nidwalden,50-59,20
2014,Nidwalden,60-69,-15
2014,Nidwalden,70-79,-4
2014,Nidwalden,80-89,0
2014,Nidwalden,90-99,-1
2014,Nidwalden,100-109,0
2014,Obwalden,0-9,16
2014,Obwalden,10-19,34
2014,Obwalden,20-29,50
2014,Obwalden,30-39,67
2014,Obwalden,40-49,33
2014,Obwalden,50-59,33
2014,Obwalden,60-69,-2
2014,Obwalden,70-79,-2
2014,Obwalden,80-89,-2
2014,Obwalden,90-99,2
2014,Obwalden,100-109,0
2014,Schaffhausen,0-9,60
2014,Schaffhausen,10-19,59
2014,Schaffhausen,20-29,236
2014,Schaffhausen,30-39,179
2014,Schaffhausen,40-49,105
2014,Schaffhausen,50-59,39
2014,Schaffhausen,60-69,-27
2014,Schaffhausen,70-79,-11
2014,Schaffhausen,80-89,2
2014,Schaffhausen,90-99,1
2014,Schaffhausen,100-109,0
2014,Schwyz,0-9,34
2014,Schwyz,10-19,64
2014,Schwyz,20-29,278
2014,Schwyz,30-39,165
2014,Schwyz,40-49,100
2014,Schwyz,50-59,-25
2014,Schwyz,60-69,-57
2014,Schwyz,70-79,8
2014,Schwyz,80-89,-1
2014,Schwyz,90-99,-1
2014,Schwyz,100-109,0
2014,Solothurn,0-9,200
2014,Solothurn,10-19,171
2014,Solothurn,20-29,652
2014,Solothurn,30-39,474
2014,Solothurn,40-49,303
2014,Solothurn,50-59,63
2014,Solothurn,60-69,-37
2014,Solothurn,70-79,-3
2014,Solothurn,80-89,5
2014,Solothurn,90-99,-3
2014,Solothurn,100-109,0
2014,St. Gallen,0-9,411
2014,St. Gallen,10-19,423
2014,St. Gallen,20-29,1663
2014,St. Gallen,30-39,1168
2014,St. Gallen,40-49,572
2014,St. Gallen,50-59,57
2014,St. Gallen,60-69,-202
2014,St. Gallen,70-79,13
2014,St. Gallen,80-89,-5
2014,St. Gallen,90-99,-5
2014,St. Gallen,100-109,-1
2014,Thurgau,0-9,234
2014,Thurgau,10-19,231
2014,Thurgau,20-29,854
2014,Thurgau,30-39,654
2014,Thurgau,40-49,312
2014,Thurgau,50-59,34
2014,Thurgau,60-69,-99
2014,Thurgau,70-79,-2
2014,Thurgau,80-89,-4
2014,Thurgau,90-99,-2
2014,Thurgau,100-109,0
2014,Ticino,0-9,525
2014,Ticino,10-19,365
2014,Ticino,20-29,821
2014,Ticino,30-39,1002
2014,Ticino,40-49,857
2014,Ticino,50-59,386
2014,Ticino,60-69,115
2014,Ticino,70-79,116
2014,Ticino,80-89,43
2014,Ticino,90-99,-2
2014,Ticino,100-109,-1
2014,Uri,0-9,45
2014,Uri,10-19,11
2014,Uri,20-29,58
2014,Uri,30-39,82
2014,Uri,40-49,55
2014,Uri,50-59,-7
2014,Uri,60-69,6
2014,Uri,70-79,2
2014,Uri,80-89,-2
2014,Uri,90-99,0
2014,Uri,100-109,0
2014,Valais / Wallis,0-9,328
2014,Valais / Wallis,10-19,738
2014,Valais / Wallis,20-29,977
2014,Valais / Wallis,30-39,834
2014,Valais / Wallis,40-49,509
2014,Valais / Wallis,50-59,202
2014,Valais / Wallis,60-69,21
2014,Valais / Wallis,70-79,40
2014,Valais / Wallis,80-89,-2
2014,Valais / Wallis,90-99,-8
2014,Valais / Wallis,100-109,0
2014,Vaud,0-9,887
2014,Vaud,10-19,1881
2014,Vaud,20-29,2313
2014,Vaud,30-39,2149
2014,Vaud,40-49,1076
2014,Vaud,50-59,237
2014,Vaud,60-69,-350
2014,Vaud,70-79,2
2014,Vaud,80-89,19
2014,Vaud,90-99,-4
2014,Vaud,100-109,0
2014,Zug,0-9,148
2014,Zug,10-19,-20
2014,Zug,20-29,334
2014,Zug,30-39,410
2014,Zug,40-49,123
2014,Zug,50-59,-2
2014,Zug,60-69,-56
2014,Zug,70-79,0
2014,Zug,80-89,8
2014,Zug,90-99,-2
2014,Zug,100-109,0
2014,Zürich,0-9,1045
2014,Zürich,10-19,1144
2014,Zürich,20-29,6907
2014,Zürich,30-39,4087
2014,Zürich,40-49,1634
2014,Zürich,50-59,211
2014,Zürich,60-69,-639
2014,Zürich,70-79,-131
2014,Zürich,80-89,-23
2014,Zürich,90-99,-6
2014,Zürich,100-109,-1
2015,Aargau,0-9,480
2015,Aargau,10-19,559
2015,Aargau,20-29,2073
2015,Aargau,30-39,1323
2015,Aargau,40-49,793
2015,Aargau,50-59,146
2015,Aargau,60-69,-204
2015,Aargau,70-79,-45
2015,Aargau,80-89,-18
2015,Aargau,90-99,2
2015,Aargau,100-109,0
2015,Appenzell Ausserrhoden,0-9,40
2015,Appenzell Ausserrhoden,10-19,49
2015,Appenzell Ausserrhoden,20-29,137
2015,Appenzell Ausserrhoden,30-39,66
2015,Appenzell Ausserrhoden,40-49,54
2015,Appenzell Ausserrhoden,50-59,14
2015,Appenzell Ausserrhoden,60-69,-20
2015,Appenzell Ausserrhoden,70-79,2
2015,Appenzell Ausserrhoden,80-89,1
2015,Appenzell Ausserrhoden,90-99,-1
2015,Appenzell Ausserrhoden,100-109,0
2015,Appenzell Innerrhoden,0-9,-3
2015,Appenzell Innerrhoden,10-19,11
2015,Appenzell Innerrhoden,20-29,26
2015,Appenzell Innerrhoden,30-39,26
2015,Appenzell Innerrhoden,40-49,9
2015,Appenzell Innerrhoden,50-59,-2
2015,Appenzell Innerrhoden,60-69,-2
2015,Appenzell Innerrhoden,70-79,-3
2015,Appenzell Innerrhoden,80-89,0
2015,Appenzell Innerrhoden,90-99,0
2015,Appenzell Innerrhoden,100-109,0
2015,Basel-Landschaft,0-9,185
2015,Basel-Landschaft,10-19,152
2015,Basel-Landschaft,20-29,582
2015,Basel-Landschaft,30-39,450
2015,Basel-Landschaft,40-49,247
2015,Basel-Landschaft,50-59,-14
2015,Basel-Landschaft,60-69,-104
2015,Basel-Landschaft,70-79,-18
2015,Basel-Landschaft,80-89,-8
2015,Basel-Landschaft,90-99,2
2015,Basel-Landschaft,100-109,0
2015,Basel-Stadt,0-9,217
2015,Basel-Stadt,10-19,212
2015,Basel-Stadt,20-29,1130
2015,Basel-Stadt,30-39,806
2015,Basel-Stadt,40-49,323
2015,Basel-Stadt,50-59,71
2015,Basel-Stadt,60-69,-148
2015,Basel-Stadt,70-79,-36
2015,Basel-Stadt,80-89,-5
2015,Basel-Stadt,90-99,-2
2015,Basel-Stadt,100-109,0
2015,Bern / Berne,0-9,655
2015,Bern / Berne,10-19,921
2015,Bern / Berne,20-29,2810
2015,Bern / Berne,30-39,1637
2015,Bern / Berne,40-49,905
2015,Bern / Berne,50-59,209
2015,Bern / Berne,60-69,-268
2015,Bern / Berne,70-79,-31
2015,Bern / Berne,80-89,-18
2015,Bern / Berne,90-99,4
2015,Bern / Berne,100-109,0
2015,Fribourg / Freiburg,0-9,231
2015,Fribourg / Freiburg,10-19,249
2015,Fribourg / Freiburg,20-29,604
2015,Fribourg / Freiburg,30-39,470
2015,Fribourg / Freiburg,40-49,281
2015,Fribourg / Freiburg,50-59,2
2015,Fribourg / Freiburg,60-69,-99
2015,Fribourg / Freiburg,70-79,6
2015,Fribourg / Freiburg,80-89,6
2015,Fribourg / Freiburg,90-99,-3
2015,Fribourg / Freiburg,100-109,0
2015,Genève,0-9,842
2015,Genève,10-19,1033
2015,Genève,20-29,3044
2015,Genève,30-39,2393
2015,Genève,40-49,1286
2015,Genève,50-59,262
2015,Genève,60-69,-470
2015,Genève,70-79,-72
2015,Genève,80-89,-11
2015,Genève,90-99,2
2015,Genève,100-109,0
2015,Glarus,0-9,33
2015,Glarus,10-19,35
2015,Glarus,20-29,156
2015,Glarus,30-39,116
2015,Glarus,40-49,50
2015,Glarus,50-59,17
2015,Glarus,60-69,-13
2015,Glarus,70-79,1
2015,Glarus,80-89,1
2015,Glarus,90-99,1
2015,Glarus,100-109,0
2015,Graubünden / Grigioni / Grischun,0-9,148
2015,Graubünden / Grigioni / Grischun,10-19,214
2015,Graubünden / Grigioni / Grischun,20-29,625
2015,Graubünden / Grigioni / Grischun,30-39,431
2015,Graubünden / Grigioni / Grischun,40-49,304
2015,Graubünden / Grigioni / Grischun,50-59,60
2015,Graubünden / Grigioni / Grischun,60-69,-90
2015,Graubünden / Grigioni / Grischun,70-79,-10
2015,Graubünden / Grigioni / Grischun,80-89,-13
2015,Graubünden / Grigioni / Grischun,90-99,-4
2015,Graubünden / Grigioni / Grischun,100-109,1
2015,Jura,0-9,58
2015,Jura,10-19,73
2015,Jura,20-29,174
2015,Jura,30-39,99
2015,Jura,40-49,79
2015,Jura,50-59,24
2015,Jura,60-69,-13
2015,Jura,70-79,7
2015,Jura,80-89,6
2015,Jura,90-99,-1
2015,Jura,100-109,0
2015,Luzern,0-9,295
2015,Luzern,10-19,463
2015,Luzern,20-29,1159
2015,Luzern,30-39,646
2015,Luzern,40-49,339
2015,Luzern,50-59,37
2015,Luzern,60-69,-161
2015,Luzern,70-79,-25
2015,Luzern,80-89,-24
2015,Luzern,90-99,-11
2015,Luzern,100-109,-1
2015,Neuchâtel,0-9,156
2015,Neuchâtel,10-19,234
2015,Neuchâtel,20-29,610
2015,Neuchâtel,30-39,383
2015,Neuchâtel,40-49,241
2015,Neuchâtel,50-59,25
2015,Neuchâtel,60-69,-66
2015,Neuchâtel,70-79,-2
2015,Neuchâtel,80-89,-9
2015,Neuchâtel,90-99,1
2015,Neuchâtel,100-109,0
2015,Nidwalden,0-9,23
2015,Nidwalden,10-19,26
2015,Nidwalden,20-29,104
2015,Nidwalden,30-39,61
2015,Nidwalden,40-49,38
2015,Nidwalden,50-59,-12
2015,Nidwalden,60-69,-17
2015,Nidwalden,70-79,-13
2015,Nidwalden,80-89,-2
2015,Nidwalden,90-99,1
2015,Nidwalden,100-109,0
2015,Obwalden,0-9,23
2015,Obwalden,10-19,15
2015,Obwalden,20-29,105
2015,Obwalden,30-39,48
2015,Obwalden,40-49,33
2015,Obwalden,50-59,7
2015,Obwalden,60-69,-14
2015,Obwalden,70-79,-3
2015,Obwalden,80-89,-2
2015,Obwalden,90-99,0
2015,Obwalden,100-109,0
2015,Schaffhausen,0-9,45
2015,Schaffhausen,10-19,70
2015,Schaffhausen,20-29,269
2015,Schaffhausen,30-39,170
2015,Schaffhausen,40-49,84
2015,Schaffhausen,50-59,-18
2015,Schaffhausen,60-69,-68
2015,Schaffhausen,70-79,2
2015,Schaffhausen,80-89,-4
2015,Schaffhausen,90-99,2
2015,Schaffhausen,100-109,0
2015,Schwyz,0-9,20
2015,Schwyz,10-19,59
2015,Schwyz,20-29,338
2015,Schwyz,30-39,148
2015,Schwyz,40-49,104
2015,Schwyz,50-59,-6
2015,Schwyz,60-69,-63
2015,Schwyz,70-79,1
2015,Schwyz,80-89,-8
2015,Schwyz,90-99,0
2015,Schwyz,100-109,0
2015,Solothurn,0-9,183
2015,Solothurn,10-19,224
2015,Solothurn,20-29,759
2015,Solothurn,30-39,572
2015,Solothurn,40-49,326
2015,Solothurn,50-59,25
2015,Solothurn,60-69,-124
2015,Solothurn,70-79,-18
2015,Solothurn,80-89,-4
2015,Solothurn,90-99,0
2015,Solothurn,100-109,0
2015,St. Gallen,0-9,296
2015,St. Gallen,10-19,489
2015,St. Gallen,20-29,1546
2015,St. Gallen,30-39,843
2015,St. Gallen,40-49,422
2015,St. Gallen,50-59,22
2015,St. Gallen,60-69,-271
2015,St. Gallen,70-79,-25
2015,St. Gallen,80-89,7
2015,St. Gallen,90-99,0
2015,St. Gallen,100-109,0
2015,Thurgau,0-9,115
2015,Thurgau,10-19,194
2015,Thurgau,20-29,843
2015,Thurgau,30-39,571
2015,Thurgau,40-49,249
2015,Thurgau,50-59,26
2015,Thurgau,60-69,-151
2015,Thurgau,70-79,-13
2015,Thurgau,80-89,-5
2015,Thurgau,90-99,-2
2015,Thurgau,100-109,0
2015,Ticino,0-9,399
2015,Ticino,10-19,440
2015,Ticino,20-29,732
2015,Ticino,30-39,701
2015,Ticino,40-49,410
2015,Ticino,50-59,116
2015,Ticino,60-69,-75
2015,Ticino,70-79,26
2015,Ticino,80-89,-13
2015,Ticino,90-99,2
2015,Ticino,100-109,0
2015,Uri,0-9,5
2015,Uri,10-19,25
2015,Uri,20-29,72
2015,Uri,30-39,49
2015,Uri,40-49,6
2015,Uri,50-59,7
2015,Uri,60-69,-11
2015,Uri,70-79,1
2015,Uri,80-89,-1
2015,Uri,90-99,0
2015,Uri,100-109,0
2015,Valais / Wallis,0-9,329
2015,Valais / Wallis,10-19,576
2015,Valais / Wallis,20-29,722
2015,Valais / Wallis,30-39,775
2015,Valais / Wallis,40-49,423
2015,Valais / Wallis,50-59,131
2015,Valais / Wallis,60-69,-98
2015,Valais / Wallis,70-79,10
2015,Valais / Wallis,80-89,-1
2015,Valais / Wallis,90-99,-7
2015,Valais / Wallis,100-109,0
2015,Vaud,0-9,1170
2015,Vaud,10-19,2320
2015,Vaud,20-29,3200
2015,Vaud,30-39,2167
2015,Vaud,40-49,1101
2015,Vaud,50-59,221
2015,Vaud,60-69,-422
2015,Vaud,70-79,5
2015,Vaud,80-89,2
2015,Vaud,90-99,3
2015,Vaud,100-109,0
2015,Zug,0-9,123
2015,Zug,10-19,86
2015,Zug,20-29,392
2015,Zug,30-39,331
2015,Zug,40-49,132
2015,Zug,50-59,14
2015,Zug,60-69,-82
2015,Zug,70-79,-18
2015,Zug,80-89,1
2015,Zug,90-99,1
2015,Zug,100-109,0
2015,Zürich,0-9,927
2015,Zürich,10-19,1247
2015,Zürich,20-29,6978
2015,Zürich,30-39,4369
2015,Zürich,40-49,1405
2015,Zürich,50-59,123
2015,Zürich,60-69,-605
2015,Zürich,70-79,-39
2015,Zürich,80-89,-25
2015,Zürich,90-99,-12
2015,Zürich,100-109,-1
2016,Aargau,0-9,531
2016,Aargau,10-19,768
2016,Aargau,20-29,2363
2016,Aargau,30-39,1448
2016,Aargau,40-49,721
2016,Aargau,50-59,-8
2016,Aargau,60-69,-330
2016,Aargau,70-79,-32
2016,Aargau,80-89,-20
2016,Aargau,90-99,-6
2016,Aargau,100-109,0
2016,Appenzell Ausserrhoden,0-9,27
2016,Appenzell Ausserrhoden,10-19,47
2016,Appenzell Ausserrhoden,20-29,143
2016,Appenzell Ausserrhoden,30-39,97
2016,Appenzell Ausserrhoden,40-49,38
2016,Appenzell Ausserrhoden,50-59,6
2016,Appenzell Ausserrhoden,60-69,-28
2016,Appenzell Ausserrhoden,70-79,0
2016,Appenzell Ausserrhoden,80-89,0
2016,Appenzell Ausserrhoden,90-99,-1
2016,Appenzell Ausserrhoden,100-109,0
2016,Appenzell Innerrhoden,0-9,9
2016,Appenzell Innerrhoden,10-19,17
2016,Appenzell Innerrhoden,20-29,34
2016,Appenzell Innerrhoden,30-39,20
2016,Appenzell Innerrhoden,40-49,9
2016,Appenzell Innerrhoden,50-59,0
2016,Appenzell Innerrhoden,60-69,-16
2016,Appenzell Innerrhoden,70-79,4
2016,Appenzell Innerrhoden,80-89,-1
2016,Appenzell Innerrhoden,90-99,0
2016,Appenzell Innerrhoden,100-109,0
2016,Basel-Landschaft,0-9,185
2016,Basel-Landschaft,10-19,247
2016,Basel-Landschaft,20-29,575
2016,Basel-Landschaft,30-39,380
2016,Basel-Landschaft,40-49,155
2016,Basel-Landschaft,50-59,-23
2016,Basel-Landschaft,60-69,-110
2016,Basel-Landschaft,70-79,-22
2016,Basel-Landschaft,80-89,-5
2016,Basel-Landschaft,90-99,-3
2016,Basel-Landschaft,100-109,0
2016,Basel-Stadt,0-9,199
2016,Basel-Stadt,10-19,364
2016,Basel-Stadt,20-29,1232
2016,Basel-Stadt,30-39,754
2016,Basel-Stadt,40-49,448
2016,Basel-Stadt,50-59,92
2016,Basel-Stadt,60-69,-149
2016,Basel-Stadt,70-79,-46
2016,Basel-Stadt,80-89,-1
2016,Basel-Stadt,90-99,-6
2016,Basel-Stadt,100-109,0
2016,Bern / Berne,0-9,932
2016,Bern / Berne,10-19,1195
2016,Bern / Berne,20-29,3214
2016,Bern / Berne,30-39,1739
2016,Bern / Berne,40-49,779
2016,Bern / Berne,50-59,99
2016,Bern / Berne,60-69,-255
2016,Bern / Berne,70-79,-15
2016,Bern / Berne,80-89,-6
2016,Bern / Berne,90-99,2
2016,Bern / Berne,100-109,0
2016,Fribourg / Freiburg,0-9,314
2016,Fribourg / Freiburg,10-19,378
2016,Fribourg / Freiburg,20-29,646
2016,Fribourg / Freiburg,30-39,529
2016,Fribourg / Freiburg,40-49,193
2016,Fribourg / Freiburg,50-59,-34
2016,Fribourg / Freiburg,60-69,-117
2016,Fribourg / Freiburg,70-79,-13
2016,Fribourg / Freiburg,80-89,2
2016,Fribourg / Freiburg,90-99,1
2016,Fribourg / Freiburg,100-109,0
2016,Genève,0-9,572
2016,Genève,10-19,922
2016,Genève,20-29,2549
2016,Genève,30-39,1657
2016,Genève,40-49,474
2016,Genève,50-59,13
2016,Genève,60-69,-769
2016,Genève,70-79,-158
2016,Genève,80-89,-45
2016,Genève,90-99,-15
2016,Genève,100-109,0
2016,Glarus,0-9,25
2016,Glarus,10-19,60
2016,Glarus,20-29,136
2016,Glarus,30-39,52
2016,Glarus,40-49,24
2016,Glarus,50-59,-15
2016,Glarus,60-69,-27
2016,Glarus,70-79,2
2016,Glarus,80-89,0
2016,Glarus,90-99,0
2016,Glarus,100-109,0
2016,Graubünden / Grigioni / Grischun,0-9,102
2016,Graubünden / Grigioni / Grischun,10-19,267
2016,Graubünden / Grigioni / Grischun,20-29,685
2016,Graubünden / Grigioni / Grischun,30-39,379
2016,Graubünden / Grigioni / Grischun,40-49,275
2016,Graubünden / Grigioni / Grischun,50-59,59
2016,Graubünden / Grigioni / Grischun,60-69,-86
2016,Graubünden / Grigioni / Grischun,70-79,-3
2016,Graubünden / Grigioni / Grischun,80-89,-7
2016,Graubünden / Grigioni / Grischun,90-99,-1
2016,Graubünden / Grigioni / Grischun,100-109,-1
2016,Jura,0-9,37
2016,Jura,10-19,70
2016,Jura,20-29,150
2016,Jura,30-39,86
2016,Jura,40-49,5
2016,Jura,50-59,-54
2016,Jura,60-69,-41
2016,Jura,70-79,-26
2016,Jura,80-89,-23
2016,Jura,90-99,-8
2016,Jura,100-109,-2
2016,Luzern,0-9,341
2016,Luzern,10-19,687
2016,Luzern,20-29,1500
2016,Luzern,30-39,806
2016,Luzern,40-49,246
2016,Luzern,50-59,-27
2016,Luzern,60-69,-144
2016,Luzern,70-79,-20
2016,Luzern,80-89,-9
2016,Luzern,90-99,-5
2016,Luzern,100-109,0
2016,Neuchâtel,0-9,117
2016,Neuchâtel,10-19,247
2016,Neuchâtel,20-29,476
2016,Neuchâtel,30-39,368
2016,Neuchâtel,40-49,144
2016,Neuchâtel,50-59,-34
2016,Neuchâtel,60-69,-84
2016,Neuchâtel,70-79,-17
2016,Neuchâtel,80-89,-3
2016,Neuchâtel,90-99,-5
2016,Neuchâtel,100-109,0
2016,Nidwalden,0-9,17
2016,Nidwalden,10-19,49
2016,Nidwalden,20-29,100
2016,Nidwalden,30-39,19
2016,Nidwalden,40-49,27
2016,Nidwalden,50-59,10
2016,Nidwalden,60-69,-22
2016,Nidwalden,70-79,-1
2016,Nidwalden,80-89,0
2016,Nidwalden,90-99,-2
2016,Nidwalden,100-109,0
2016,Obwalden,0-9,14
2016,Obwalden,10-19,16
2016,Obwalden,20-29,137
2016,Obwalden,30-39,59
2016,Obwalden,40-49,24
2016,Obwalden,50-59,1
2016,Obwalden,60-69,-12
2016,Obwalden,70-79,-1
2016,Obwalden,80-89,0
2016,Obwalden,90-99,-1
2016,Obwalden,100-109,0
2016,Schaffhausen,0-9,100
2016,Schaffhausen,10-19,141
2016,Schaffhausen,20-29,334
2016,Schaffhausen,30-39,204
2016,Schaffhausen,40-49,83
2016,Schaffhausen,50-59,7
2016,Schaffhausen,60-69,-68
2016,Schaffhausen,70-79,-14
2016,Schaffhausen,80-89,-3
2016,Schaffhausen,90-99,0
2016,Schaffhausen,100-109,0
2016,Schwyz,0-9,86
2016,Schwyz,10-19,151
2016,Schwyz,20-29,425
2016,Schwyz,30-39,237
2016,Schwyz,40-49,89
2016,Schwyz,50-59,9
2016,Schwyz,60-69,-66
2016,Schwyz,70-79,-9
2016,Schwyz,80-89,1
2016,Schwyz,90-99,-2
2016,Schwyz,100-109,0
2016,Solothurn,0-9,300
2016,Solothurn,10-19,358
2016,Solothurn,20-29,967
2016,Solothurn,30-39,497
2016,Solothurn,40-49,235
2016,Solothurn,50-59,-24
2016,Solothurn,60-69,-75
2016,Solothurn,70-79,-5
2016,Solothurn,80-89,-5
2016,Solothurn,90-99,1
2016,Solothurn,100-109,0
2016,St. Gallen,0-9,379
2016,St. Gallen,10-19,740
2016,St. Gallen,20-29,1774
2016,St. Gallen,30-39,842
2016,St. Gallen,40-49,334
2016,St. Gallen,50-59,-45
2016,St. Gallen,60-69,-227
2016,St. Gallen,70-79,-38
2016,St. Gallen,80-89,-13
2016,St. Gallen,90-99,-4
2016,St. Gallen,100-109,0
2016,Thurgau,0-9,144
2016,Thurgau,10-19,284
2016,Thurgau,20-29,869
2016,Thurgau,30-39,495
2016,Thurgau,40-49,178
2016,Thurgau,50-59,-18
2016,Thurgau,60-69,-163
2016,Thurgau,70-79,-15
2016,Thurgau,80-89,-9
2016,Thurgau,90-99,-1
2016,Thurgau,100-109,0
2016,Ticino,0-9,407
2016,Ticino,10-19,607
2016,Ticino,20-29,860
2016,Ticino,30-39,856
2016,Ticino,40-49,523
2016,Ticino,50-59,151
2016,Ticino,60-69,-119
2016,Ticino,70-79,-43
2016,Ticino,80-89,-12
2016,Ticino,90-99,0
2016,Ticino,100-109,0
