Year,Canton,Age Group,marriages
1981,Ticino,50-59,11
1981,Ticino,60-69,2
1981,Ticino,70-79,1
1981,Ticino,80-89,0
1981,Uri,10-19,0
1981,Uri,20-29,124
1981,Uri,30-39,12
1981,Uri,40-49,1
1981,Uri,50-59,0
1981,Uri,60-69,0
1981,Uri,70-79,0
1981,Uri,80-89,0
1981,Valais / Wallis,10-19,3
1981,Valais / Wallis,20-29,879
1981,Valais / Wallis,30-39,68
1981,Valais / Wallis,40-49,9
1981,Valais / Wallis,50-59,2
1981,Valais / Wallis,60-69,1
1981,Valais / Wallis,70-79,0
1981,Valais / Wallis,80-89,0
1981,Vaud,10-19,4
1981,Vaud,20-29,1405
1981,Vaud,30-39,265
1981,Vaud,40-49,36
1981,Vaud,50-59,13
1981,Vaud,60-69,10
1981,Vaud,70-79,0
1981,Vaud,80-89,0
1981,Zug,10-19,0
1981,Zug,20-29,227
1981,Zug,30-39,37
1981,Zug,40-49,6
1981,Zug,50-59,2
1981,Zug,60-69,1
1981,Zug,70-79,0
1981,Zug,80-89,0
1981,Zürich,10-19,10
1981,Zürich,20-29,3276
1981,Zürich,30-39,878
1981,Zürich,40-49,114
1981,Zürich,50-59,51
1981,Zürich,60-69,14
1981,Zürich,70-79,6
1981,Zürich,80-89,1
1982,Aargau,10-19,3
1982,Aargau,20-29,1546
1982,Aargau,30-39,242
1982,Aargau,40-49,35
1982,Aargau,50-59,14
1982,Aargau,60-69,5
1982,Aargau,70-79,0
1982,Aargau,80-89,0
1982,Appenzell Ausserrhoden,10-19,1
1982,Appenzell Ausserrhoden,20-29,172
1982,Appenzell Ausserrhoden,30-39,14
1982,Appenzell Ausserrhoden,40-49,5
1982,Appenzell Ausserrhoden,50-59,1
1982,Appenzell Ausserrhoden,60-69,1
1982,Appenzell Ausserrhoden,70-79,0
1982,Appenzell Ausserrhoden,80-89,0
1982,Appenzell Innerrhoden,10-19,1
1982,Appenzell Innerrhoden,20-29,59
1982,Appenzell Innerrhoden,30-39,3
1982,Appenzell Innerrhoden,40-49,1
1982,Appenzell Innerrhoden,50-59,1
1982,Appenzell Innerrhoden,60-69,0
1982,Appenzell Innerrhoden,70-79,0
1982,Appenzell Innerrhoden,80-89,0
1982,Basel-Landschaft,10-19,1
1982,Basel-Landschaft,20-29,697
1982,Basel-Landschaft,30-39,150
1982,Basel-Landschaft,40-49,22
1982,Basel-Landschaft,50-59,6
1982,Basel-Landschaft,60-69,1
1982,Basel-Landschaft,70-79,0
1982,Basel-Landschaft,80-89,0
1982,Basel-Stadt,10-19,3
1982,Basel-Stadt,20-29,523
1982,Basel-Stadt,30-39,153
1982,Basel-Stadt,40-49,22
1982,Basel-Stadt,50-59,13
1982,Basel-Stadt,60-69,2
1982,Basel-Stadt,70-79,2
1982,Basel-Stadt,80-89,0
1982,Bern / Berne,10-19,6
1982,Bern / Berne,20-29,2813
1982,Bern / Berne,30-39,454
1982,Bern / Berne,40-49,65
1982,Bern / Berne,50-59,22
1982,Bern / Berne,60-69,13
1982,Bern / Berne,70-79,2
1982,Bern / Berne,80-89,0
1982,Fribourg / Freiburg,10-19,3
1982,Fribourg / Freiburg,20-29,658
1982,Fribourg / Freiburg,30-39,75
1982,Fribourg / Freiburg,40-49,14
1982,Fribourg / Freiburg,50-59,1
1982,Fribourg / Freiburg,60-69,0
1982,Fribourg / Freiburg,70-79,0
1982,Fribourg / Freiburg,80-89,0
1982,Genève,10-19,1
1982,Genève,20-29,862
1982,Genève,30-39,261
1982,Genève,40-49,50
1982,Genève,50-59,25
1982,Genève,60-69,8
1982,Genève,70-79,2
1982,Genève,80-89,0
1982,Glarus,10-19,0
1982,Glarus,20-29,125
1982,Glarus,30-39,15
1982,Glarus,40-49,5
1982,Glarus,50-59,1
1982,Glarus,60-69,0
1982,Glarus,70-79,0
1982,Glarus,80-89,0
1982,Graubünden / Grigioni / Grischun,10-19,0
1982,Graubünden / Grigioni / Grischun,20-29,648
1982,Graubünden / Grigioni / Grischun,30-39,77
1982,Graubünden / Grigioni / Grischun,40-49,5
1982,Graubünden / Grigioni / Grischun,50-59,1
1982,Graubünden / Grigioni / Grischun,60-69,2
1982,Graubünden / Grigioni / Grischun,70-79,1
1982,Graubünden / Grigioni / Grischun,80-89,0
1982,Jura,10-19,0
1982,Jura,20-29,246
1982,Jura,30-39,18
1982,Jura,40-49,2
1982,Jura,50-59,1
1982,Jura,60-69,1
1982,Jura,70-79,1
1982,Jura,80-89,0
1982,Luzern,10-19,1
1982,Luzern,20-29,992
1982,Luzern,30-39,120
1982,Luzern,40-49,21
1982,Luzern,50-59,7
1982,Luzern,60-69,1
1982,Luzern,70-79,1
1982,Luzern,80-89,0
1982,Neuchâtel,10-19,1
1982,Neuchâtel,20-29,454
1982,Neuchâtel,30-39,80
1982,Neuchâtel,40-49,11
1982,Neuchâtel,50-59,10
1982,Neuchâtel,60-69,1
1982,Neuchâtel,70-79,1
1982,Neuchâtel,80-89,0
1982,Nidwalden,10-19,0
1982,Nidwalden,20-29,122
1982,Nidwalden,30-39,15
1982,Nidwalden,40-49,1
1982,Nidwalden,50-59,0
1982,Nidwalden,60-69,1
1982,Nidwalden,70-79,0
1982,Nidwalden,80-89,0
1982,Obwalden,10-19,1
1982,Obwalden,20-29,75
1982,Obwalden,30-39,16
1982,Obwalden,40-49,0
1982,Obwalden,50-59,0
1982,Obwalden,60-69,0
1982,Obwalden,70-79,0
1982,Obwalden,80-89,0
1982,Schaffhausen,10-19,0
