Year,Canton,GDP_pc
1982,Vaud,16703.449402686514
1983,Vaud,16392.357184636607
1984,Vaud,15286.97330616522
1985,Vaud,15293.195982953697
1986,Vaud,21682.937779446984
1987,Vaud,26645.55114281728
1988,Vaud,28406.51892177077
1989,Vaud,26966.728653773687
1990,Vaud,33858.27757244176
1991,Vaud,33535.50296037441
1992,Vaud,34330.096834905235
1993,Vaud,32866.91619590003
1994,Vaud,35937.52125743659
1995,Vaud,41562.348519370826
1996,Vaud,39717.48291941292
1997,Vaud,34204.04748630156
1998,Vaud,34972.31427308048
1999,Vaud,34033.15582022826
2000,Vaud,31647.267607893096
2001,Vaud,31557.435718821132
2002,Vaud,34391.1391410336
2003,Vaud,39805.75010407486
2004,Vaud,44081.82414483572
2005,Vaud,45218.166544728025
2006,Vaud,47409.299085215316
2007,Vaud,52175.95169520274
2008,Vaud,68588.05133
2009,Vaud,67109.79476
2010,Vaud,69836.27565
2011,Vaud,70042.97428
2012,Vaud,73353.60466
2013,Vaud,70497.44501
2014,Vaud,71365.05026
2015,Vaud,69811.72854
2016,Vaud,73172.74337
2017,Vaud,69958.66797
2018,Vaud,73334.20905
2019,Vaud,73100.43559
2020,Vaud,69688.35812
2021,Vaud,76983.03265
2022,Vaud,78021.25225
1981,Valais,13175.337018848353
1982,Valais,13197.532419182702
1983,Valais,12933.773953041658
1984,Valais,12046.196263418131
1985,Valais,12036.920146930344
1986,Valais,17047.679157598548
1987,Valais,20928.623671730034
1988,Valais,22291.50364775586
1989,Valais,21144.11740699144
1990,Valais,26527.655919604273
1991,Valais,26256.856186041234
1992,Valais,26862.507735025913
1993,Valais,25703.51794625755
1994,Valais,28091.25485133561
1995,Valais,32474.227519393
1996,Valais,31021.416356149035
1997,Valais,26706.883217013437
1998,Valais,27299.82382009914
1999,Valais,26561.39221758745
2000,Valais,24695.671993585802
2001,Valais,24623.21792074298
2002,Valais,26833.06335259524
2003,Valais,31057.890496444088
2004,Valais,34396.1481861269
2005,Valais,35286.52226803938
2006,Valais,37002.11856752232
2007,Valais,40730.72037464805
2008,Valais,53542.68871
2009,Valais,53984.45768
2010,Valais,54717.72835
2011,Valais,54776.0812
2012,Valais,54316.92455
2013,Valais,54001.33377
2014,Valais,53600.25002
2015,Valais,54523.34778
2016,Valais,54237.86724
2017,Valais,54465.95656
2018,Valais,56339.42894
2019,Valais,57489.79878
2020,Valais,54827.0564
2021,Valais,57918.26556
2022,Valais,61386.57416
1981,Neuchâtel,9018.454840609365
1982,Neuchâtel,9938.610519809927
1983,Neuchâtel,10567.50185291174
1984,Neuchâtel,10561.641609840639
1985,Neuchâtel,11224.404904064702
1986,Neuchâtel,16783.70692141612
1987,Neuchâtel,21620.250411737128
1988,Neuchâtel,24036.956335592135
1989,Neuchâtel,23691.289954930053
1990,Neuchâtel,30764.514674087073
1991,Neuchâtel,31408.383197206316
1992,Neuchâtel,33042.32165980611
1993,Neuchâtel,32422.623007800867
1994,Neuchâtel,36248.21250335116
1995,Neuchâtel,42770.23725651368
1996,Neuchâtel,41616.27914284708
1997,Neuchâtel,36425.56715645678
1998,Neuchâtel,37789.21213277039
1999,Neuchâtel,37254.508473708636
2000,Neuchâtel,35043.54963196913
2001,Neuchâtel,35299.45600258357
2002,Neuchâtel,38809.484329482395
2003,Neuchâtel,45260.47110907951
2004,Neuchâtel,50442.151315220064
2005,Neuchâtel,52012.10882409619
2006,Neuchâtel,54754.94427287894
2007,Neuchâtel,60439.378187514405
2008,Neuchâtel,79450.76302
2009,Neuchâtel,74037.80592
2010,Neuchâtel,75885.53479
2011,Neuchâtel,81949.2494
2012,Neuchâtel,84089.80021
2013,Neuchâtel,84893.19718
2014,Neuchâtel,85867.69937
2015,Neuchâtel,87011.11839
2016,Neuchâtel,85085.56341
2017,Neuchâtel,87244.7338
2018,Neuchâtel,91313.82543
2019,Neuchâtel,92818.18272
2020,Neuchâtel,86950.86965
2021,Neuchâtel,100528.18797
2022,Neuchâtel,106165.29127
1981,Geneva,27645.787723561694
1982,Geneva,27553.77962602327
1983,Geneva,26877.460521152232
1984,Geneva,24924.807093931093
1985,Geneva,24805.756379361854
1986,Geneva,35001.49668205207
1987,Geneva,42822.17531815234
1988,Geneva,45466.40459389536
1989,Geneva,43000.657470385355
1990,Geneva,53805.28198487077
1991,Geneva,53126.48297966453
1992,Geneva,54231.924419249095
1993,Geneva,51788.74316465627
1994,Geneva,56498.80575171765
1995,Geneva,65210.924586352594
1996,Geneva,62207.39690434626
1997,Geneva,53491.60790266532
1998,Geneva,54624.244587693174
1999,Geneva,53102.98179899894
2000,Geneva,49341.13708602211
2001,Geneva,49173.347106484
2002,Geneva,53570.68224648968
2003,Geneva,61997.64921180692
2004,Geneva,68664.63188615485
2005,Geneva,70457.1876317082
2006,Geneva,73910.98753875149
2007,Geneva,81403.50934388724
2008,Geneva,107009.22352
2009,Geneva,102848.78601
2010,Geneva,105679.01338
2011,Geneva,105713.3554
2012,Geneva,106961.82622
2013,Geneva,107656.37463
2014,Geneva,106274.86734
2015,Geneva,104024.87416
2016,Geneva,103390.95527
2017,Geneva,104477.87808
2018,Geneva,108371.21376
2019,Geneva,108789.92838
2020,Geneva,102953.7446
2021,Geneva,110709.50574
2022,Geneva,119643.62523
1981,Jura,9879.977777854818
1982,Jura,10348.645684825644
1983,Jura,10555.655155352844
1984,Jura,10191.471901436624
1985,Jura,10520.045428205636
1986,Jura,15344.728609594602
1987,Jura,19348.990984878805
1988,Jura,21117.497424830537
1989,Jura,20480.894350030187
1990,Jura,26222.721987375982
1991,Jura,26441.32565370263
1992,Jura,27514.28709578655
1993,Jura,26738.88299886018
1994,Jura,29640.04581734459
1995,Jura,34710.851110044525
1996,Jura,33551.06687901855
1997,Jura,29195.692478588393
1998,Jura,30134.7517281113
1999,Jura,29577.20908684922
2000,Jura,27716.216594097605
2001,Jura,27828.620863314016
2002,Jura,30513.654666067483
2003,Jura,35508.33288786398
2004,Jura,39506.77433723737
2005,Jura,40686.74791551527
2006,Jura,42799.631694596064
2007,Jura,47227.84583186201
2008,Jura,62083.50416
2009,Jura,57939.49103
2010,Jura,59344.59263
2011,Jura,61564.37396
2012,Jura,62203.45888
2013,Jura,64586.34034
2014,Jura,65931.73618
2015,Jura,64264.71337
2016,Jura,63814.73767
2017,Jura,65176.49057
2018,Jura,68160.71378
2019,Jura,69362.62763
2020,Jura,62809.98072
2021,Jura,72578.02959
2022,Jura,78546.37592
