Year,Canton,unemployment
1988,Basel-Stadt,2.439457593688363
1988,Bern / Berne,0.1
1988,Fribourg / Freiburg,1.1040729783037473
1988,Genève,6.817919132149899
1988,Glarus,0.1
1988,Graubünden / Grigioni / Grischun,0.1
1988,Jura,1.8863806706114397
1988,Luzern,0.1
1988,Neuchâtel,3.704072978303748
1988,Nidwalden,0.1
1988,Obwalden,0.1
1988,Schaffhausen,0.6786883629191335
1988,Schwyz,0.1
1988,Solothurn,0.24484220907297904
1988,St. Gallen,0.1
1988,Thurgau,0.1
1988,Ticino,3.6325345167652867
1988,Uri,0.1
1988,Valais / Wallis,1.1633037475345174
1988,Vaud,3.47561143984221
1988,Zug,0.1
1988,Zürich,0.4279191321499013
1989,Aargau,0.2156114398422101
1989,Appenzell Ausserrhoden,0.1
1989,Appenzell Innerrhoden,0.1
1989,Basel-Landschaft,0.5879191321499023
1989,Basel-Stadt,2.439457593688363
1989,Bern / Berne,0.1
1989,Fribourg / Freiburg,1.1040729783037473
1989,Genève,6.817919132149899
1989,Glarus,0.1
1989,Graubünden / Grigioni / Grischun,0.1
1989,Jura,1.8863806706114397
1989,Luzern,0.1
1989,Neuchâtel,3.704072978303748
1989,Nidwalden,0.1
1989,Obwalden,0.1
1989,Schaffhausen,0.6786883629191335
1989,Schwyz,0.1
1989,Solothurn,0.24484220907297904
1989,St. Gallen,0.1
1989,Thurgau,0.1
1989,Ticino,3.6325345167652867
1989,Uri,0.1
1989,Valais / Wallis,1.1633037475345174
1989,Vaud,3.47561143984221
1989,Zug,0.1
1989,Zürich,0.4279191321499013
1990,Aargau,0.11561143984221012
1990,Appenzell Ausserrhoden,0.1
1990,Appenzell Innerrhoden,0.1
1990,Basel-Landschaft,0.48791913214990235
1990,Basel-Stadt,2.339457593688363
1990,Bern / Berne,0.1
1990,Fribourg / Freiburg,1.0040729783037472
1990,Genève,6.717919132149899
1990,Glarus,0.1
1990,Graubünden / Grigioni / Grischun,0.1
1990,Jura,1.7863806706114396
1990,Luzern,0.1
1990,Neuchâtel,3.6040729783037477
1990,Nidwalden,0.1
1990,Obwalden,0.1
1990,Schaffhausen,0.5786883629191335
1990,Schwyz,0.1
1990,Solothurn,0.14484220907297907
1990,St. Gallen,0.1
1990,Thurgau,0.1
1990,Ticino,3.5325345167652866
1990,Uri,0.1
1990,Valais / Wallis,1.0633037475345173
1990,Vaud,3.37561143984221
1990,Zug,0.1
1990,Zürich,0.3279191321499013
1991,Aargau,1.4156114398422102
1991,Appenzell Ausserrhoden,0.5486883629191335
1991,Appenzell Innerrhoden,0.28907297830374845
1991,Basel-Landschaft,1.7879191321499024
1991,Basel-Stadt,3.6394575936883626
1991,Bern / Berne,0.9502268244575942
1991,Fribourg / Freiburg,2.304072978303747
1991,Genève,8.017919132149899
1991,Glarus,0.6517652859960561
1991,Graubünden / Grigioni / Grischun,0.1
1991,Jura,3.0863806706114394
1991,Luzern,0.4709960552268251
1991,Neuchâtel,4.9040729783037476
1991,Nidwalden,0.1
1991,Obwalden,0.1
1991,Schaffhausen,1.8786883629191335
1991,Schwyz,0.2286883629191332
1991,Solothurn,1.4448422090729791
1991,St. Gallen,1.2417652859960555
1991,Thurgau,1.2056114398422093
1991,Ticino,4.8325345167652864
1991,Uri,0.1
1991,Valais / Wallis,2.363303747534517
1991,Vaud,4.67561143984221
1991,Zug,1.2517652859960562
1991,Zürich,1.6279191321499014
1992,Aargau,1.91561143984221
1992,Appenzell Ausserrhoden,1.0486883629191333
1992,Appenzell Innerrhoden,0.7890729783037482
1992,Basel-Landschaft,2.287919132149902
1992,Basel-Stadt,4.139457593688363
1992,Bern / Berne,1.450226824457594
1992,Fribourg / Freiburg,2.804072978303747
1992,Genève,8.517919132149899
1992,Glarus,1.1517652859960559
1992,Graubünden / Grigioni / Grischun,0.26022682445759404
1992,Jura,3.5863806706114394
1992,Luzern,0.9709960552268249
1992,Neuchâtel,5.4040729783037476
1992,Nidwalden,0.1
1992,Obwalden,0.1
1992,Schaffhausen,2.3786883629191333
1992,Schwyz,0.728688362919133
1992,Solothurn,1.944842209072979
1992,St. Gallen,1.7417652859960553
1992,Thurgau,1.705611439842209
1992,Ticino,5.3325345167652864
1992,Uri,0.1
1992,Valais / Wallis,2.863303747534517
1992,Vaud,5.17561143984221
1992,Zug,1.751765285996056
1992,Zürich,2.127919132149901
1993,Aargau,3.21561143984221
1993,Appenzell Ausserrhoden,2.3486883629191335
1993,Appenzell Innerrhoden,2.0890729783037485
1993,Basel-Landschaft,3.5879191321499024
1993,Basel-Stadt,5.439457593688363
1993,Bern / Berne,2.7502268244575943
1993,Fribourg / Freiburg,4.104072978303748
1993,Genève,9.8179191321499
1993,Glarus,2.451765285996056
1993,Graubünden / Grigioni / Grischun,1.5602268244575943
1993,Jura,4.886380670611439
1993,Luzern,2.270996055226825
1993,Neuchâtel,6.704072978303747
1993,Nidwalden,1.2425345167652866
1993,Obwalden,1.3624063116370815
1993,Schaffhausen,3.6786883629191336
1993,Schwyz,2.0286883629191332
1993,Solothurn,3.244842209072979
1993,St. Gallen,3.0417652859960556
1993,Thurgau,3.0056114398422094
1993,Ticino,6.632534516765286
1993,Uri,1.0179191321499022
1993,Valais / Wallis,4.163303747534517
1993,Vaud,6.4756114398422095
1993,Zug,3.0517652859960562
1993,Zürich,3.4279191321499014
1994,Aargau,3.21561143984221
1994,Appenzell Ausserrhoden,2.3486883629191335
1994,Appenzell Innerrhoden,2.0890729783037485
1994,Basel-Landschaft,3.5879191321499024
1994,Basel-Stadt,5.439457593688363
1994,Bern / Berne,2.7502268244575943
1994,Fribourg / Freiburg,4.104072978303748
1994,Genève,9.8179191321499
1994,Glarus,2.451765285996056
1994,Graubünden / Grigioni / Grischun,1.5602268244575943
1994,Jura,4.886380670611439
1994,Luzern,2.270996055226825
1994,Neuchâtel,6.704072978303747
1994,Nidwalden,1.2425345167652866
1994,Obwalden,1.3624063116370815
1994,Schaffhausen,3.6786883629191336
1994,Schwyz,2.0286883629191332
1994,Solothurn,3.244842209072979
1994,St. Gallen,3.0417652859960556
